Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя,method,param_base_name,cleaned_value,smiles
Детергент_8,typical,"Содержание мыла, % масс.",,25,No Method,"Содержание мыла, % масс.",25.0,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Mg]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_1,typical,"Содержание масла, % масс.",,38,No Method,"Содержание масла, % масс.",38.0,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_4,typical,"Содержание масла, % масс.",,60,No Method,"Содержание масла, % масс.",60.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_23,typical,"Содержание масла, % масс.",,59,No Method,"Содержание масла, % масс.",59.0,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_16,typical,"Содержание масла, % масс.",,50,No Method,"Содержание масла, % масс.",50.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_6,typical,"Содержание масла, % масс.",,40,No Method,"Содержание масла, % масс.",40.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_2,typical,"Содержание масла, % масс.",,50,No Method,"Содержание масла, % масс.",50.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_13,typical,"Содержание масла, % масс.",,45,No Method,"Содержание масла, % масс.",45.0,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_14,typical,"Содержание масла, % масс.",,48,No Method,"Содержание масла, % масс.",48.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_17,typical,"Содержание масла, % масс.",,60,No Method,"Содержание масла, % масс.",60.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_19,typical,"Содержание масла, % масс.",,50,No Method,"Содержание масла, % масс.",50.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_22,typical,"Содержание масла, % масс.",,20,No Method,"Содержание масла, % масс.",20.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3C2)C=C1
Детергент_21,typical,"Содержание масла, % масс.",,30,No Method,"Содержание масла, % масс.",30.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_20,typical,"Содержание масла, % масс.",,30,No Method,"Содержание масла, % масс.",30.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_12,typical,"Содержание масла, % масс.",,40,No Method,"Содержание масла, % масс.",40.0,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1C)(O[Ca]OS(C2=C(C)C=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_9,typical,"Содержание масла, % масс.",,55,No Method,"Содержание масла, % масс.",55.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_3,typical,"Содержание масла, % масс.",,60,No Method,"Содержание масла, % масс.",60.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_15,typical,"Содержание масла, % масс.",,40,No Method,"Содержание масла, % масс.",40.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_10,typical,"Содержание масла, % масс.",,50,No Method,"Содержание масла, % масс.",50.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_7,typical,"Содержание масла, % масс.",,60,No Method,"Содержание масла, % масс.",60.0,CCCCCCCCCCCC1=CC=C(S(=O)(=O)O[Ca])C=C1
Детергент_5,typical,"Содержание масла, % масс.",,60,No Method,"Содержание масла, % масс.",60.0,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_18,typical,"Содержание масла, % масс.",,50,No Method,"Содержание масла, % масс.",50.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_11,typical,"Содержание масла, % масс.",,45,No Method,"Содержание масла, % масс.",45.0,Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].[Ca+2]
Детергент_8,typical,"Содержание масла, % масс.",,45,No Method,"Содержание масла, % масс.",45.0,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Mg]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_1,typical,"Содержание MgCO3, CaCO3, % масс.",,35.0,No Method,"Содержание MgCO3, CaCO3, % масс.",35.0,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_4,typical,"Содержание MgCO3, CaCO3, % масс.",,10.0,No Method,"Содержание MgCO3, CaCO3, % масс.",10.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_23,typical,"Содержание MgCO3, CaCO3, % масс.",,1.0,No Method,"Содержание MgCO3, CaCO3, % масс.",1.0,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_16,typical,"Содержание MgCO3, CaCO3, % масс.",,10.0,No Method,"Содержание MgCO3, CaCO3, % масс.",10.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_6,typical,"Содержание MgCO3, CaCO3, % масс.",,20.0,No Method,"Содержание MgCO3, CaCO3, % масс.",20.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_2,typical,"Содержание MgCO3, CaCO3, % масс.",,20.0,No Method,"Содержание MgCO3, CaCO3, % масс.",20.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_13,typical,"Содержание MgCO3, CaCO3, % масс.",,35.0,No Method,"Содержание MgCO3, CaCO3, % масс.",35.0,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_14,typical,"Содержание MgCO3, CaCO3, % масс.",,1.5,No Method,"Содержание MgCO3, CaCO3, % масс.",1.5,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_17,typical,"Содержание MgCO3, CaCO3, % масс.",,10.0,No Method,"Содержание MgCO3, CaCO3, % масс.",10.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_19,typical,"Содержание MgCO3, CaCO3, % масс.",,20.0,No Method,"Содержание MgCO3, CaCO3, % масс.",20.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_22,typical,"Содержание MgCO3, CaCO3, % масс.",,25.0,No Method,"Содержание MgCO3, CaCO3, % масс.",25.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3C2)C=C1
Детергент_21,typical,"Содержание MgCO3, CaCO3, % масс.",,30.0,No Method,"Содержание MgCO3, CaCO3, % масс.",30.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_20,typical,"Содержание MgCO3, CaCO3, % масс.",,30.0,No Method,"Содержание MgCO3, CaCO3, % масс.",30.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_12,typical,"Содержание MgCO3, CaCO3, % масс.",,35.0,No Method,"Содержание MgCO3, CaCO3, % масс.",35.0,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1C)(O[Ca]OS(C2=C(C)C=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_9,typical,"Содержание MgCO3, CaCO3, % масс.",,15.0,No Method,"Содержание MgCO3, CaCO3, % масс.",15.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_3,typical,"Содержание MgCO3, CaCO3, % масс.",,10.0,No Method,"Содержание MgCO3, CaCO3, % масс.",10.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_15,typical,"Содержание MgCO3, CaCO3, % масс.",,20.0,No Method,"Содержание MgCO3, CaCO3, % масс.",20.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_10,typical,"Содержание MgCO3, CaCO3, % масс.",,20.0,No Method,"Содержание MgCO3, CaCO3, % масс.",20.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_7,typical,"Содержание MgCO3, CaCO3, % масс.",,1.0,No Method,"Содержание MgCO3, CaCO3, % масс.",1.0,CCCCCCCCCCCC1=CC=C(S(=O)(=O)O[Ca])C=C1
Детергент_5,typical,"Содержание MgCO3, CaCO3, % масс.",,1.0,No Method,"Содержание MgCO3, CaCO3, % масс.",1.0,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_18,typical,"Содержание MgCO3, CaCO3, % масс.",,10.0,No Method,"Содержание MgCO3, CaCO3, % масс.",10.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_11,typical,"Содержание MgCO3, CaCO3, % масс.",,35.0,No Method,"Содержание MgCO3, CaCO3, % масс.",35.0,Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].[Ca+2]
Детергент_8,typical,"Содержание MgCO3, CaCO3, % масс.",,35.0,No Method,"Содержание MgCO3, CaCO3, % масс.",35.0,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Mg]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_1,typical,"Содержание воды, % масс.",,"<0,3",No Method,"Содержание воды, % масс.",0.3,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_4,typical,"Содержание воды, % масс.",,0.09,No Method,"Содержание воды, % масс.",0.09,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_23,typical,"Содержание воды, % масс.",,"<0,02",No Method,"Содержание воды, % масс.",0.02,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_16,typical,"Содержание воды, % масс.",,0.05,No Method,"Содержание воды, % масс.",0.05,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_6,typical,"Содержание воды, % масс.",,0.05,No Method,"Содержание воды, % масс.",0.05,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_2,typical,"Содержание воды, % масс.",,≤ 0.15,No Method,"Содержание воды, % масс.",≤ 0.15,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_13,typical,"Содержание воды, % масс.",,"<0,3",No Method,"Содержание воды, % масс.",0.3,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_14,typical,"Содержание воды, % масс.",,"<0,3",No Method,"Содержание воды, % масс.",0.3,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_17,typical,"Содержание воды, % масс.",,≤ 0.3,No Method,"Содержание воды, % масс.",≤ 0.3,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_19,typical,"Содержание воды, % масс.",,0.03,No Method,"Содержание воды, % масс.",0.03,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_22,typical,"Содержание воды, % масс.",,"<0,1",No Method,"Содержание воды, % масс.",0.1,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3C2)C=C1
Детергент_12,typical,"Содержание воды, % масс.",,0.2,No Method,"Содержание воды, % масс.",0.2,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1C)(O[Ca]OS(C2=C(C)C=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_9,typical,"Содержание воды, % масс.",,≤ 0.15,No Method,"Содержание воды, % масс.",≤ 0.15,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_3,typical,"Содержание воды, % масс.",,<0.1,No Method,"Содержание воды, % масс.",0.1,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_15,typical,"Содержание воды, % масс.",,"<0,1",No Method,"Содержание воды, % масс.",0.1,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_10,typical,"Содержание воды, % масс.",,0.03,No Method,"Содержание воды, % масс.",0.03,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_7,typical,"Содержание воды, % масс.",,"<0,3",No Method,"Содержание воды, % масс.",0.3,CCCCCCCCCCCC1=CC=C(S(=O)(=O)O[Ca])C=C1
Детергент_5,typical,"Содержание воды, % масс.",,"<0,3",No Method,"Содержание воды, % масс.",0.3,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_18,typical,"Содержание воды, % масс.",,"<0,3",No Method,"Содержание воды, % масс.",0.3,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_11,typical,"Содержание воды, % масс.",,"<0,3",No Method,"Содержание воды, % масс.",0.3,Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].[Ca+2]
Детергент_1,typical,"Содержание металла (Ca/Mg), % масс.",,15.54,No Method,"Содержание металла (Ca/Mg), % масс.",15.54,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_4,typical,"Содержание металла (Ca/Mg), % масс.",,6.34,No Method,"Содержание металла (Ca/Mg), % масс.",6.34,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_23,typical,"Содержание металла (Ca/Mg), % масс.",,2.54,No Method,"Содержание металла (Ca/Mg), % масс.",2.54,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_16,typical,"Содержание металла (Ca/Mg), % масс.",,5.62,No Method,"Содержание металла (Ca/Mg), % масс.",5.62,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_6,typical,"Содержание металла (Ca/Mg), % масс.",,5.6,No Method,"Содержание металла (Ca/Mg), % масс.",5.6,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_2,typical,"Содержание металла (Ca/Mg), % масс.",,6.34,No Method,"Содержание металла (Ca/Mg), % масс.",6.34,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_13,typical,"Содержание металла (Ca/Mg), % масс.",,15.5,No Method,"Содержание металла (Ca/Mg), % масс.",15.5,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_14,typical,"Содержание металла (Ca/Mg), % масс.",,3.9,No Method,"Содержание металла (Ca/Mg), % масс.",3.9,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_17,typical,"Содержание металла (Ca/Mg), % масс.",,6.6,No Method,"Содержание металла (Ca/Mg), % масс.",6.6,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_19,typical,"Содержание металла (Ca/Mg), % масс.",,10.2,No Method,"Содержание металла (Ca/Mg), % масс.",10.2,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_22,typical,"Содержание металла (Ca/Mg), % масс.",,11.08,No Method,"Содержание металла (Ca/Mg), % масс.",11.08,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3C2)C=C1
Детергент_20,typical,"Содержание металла (Ca/Mg), % масс.",,8.53,No Method,"Содержание металла (Ca/Mg), % масс.",8.53,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_12,typical,"Содержание металла (Ca/Mg), % масс.",,15.7,No Method,"Содержание металла (Ca/Mg), % масс.",15.7,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1C)(O[Ca]OS(C2=C(C)C=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_9,typical,"Содержание металла (Ca/Mg), % масс.",,6.34,No Method,"Содержание металла (Ca/Mg), % масс.",6.34,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_3,typical,"Содержание металла (Ca/Mg), % масс.",,5.8,No Method,"Содержание металла (Ca/Mg), % масс.",5.8,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_15,typical,"Содержание металла (Ca/Mg), % масс.",,9.51,No Method,"Содержание металла (Ca/Mg), % масс.",9.51,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_10,typical,"Содержание металла (Ca/Mg), % масс.",,6.3,No Method,"Содержание металла (Ca/Mg), % масс.",6.3,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_7,typical,"Содержание металла (Ca/Mg), % масс.",,2.48,No Method,"Содержание металла (Ca/Mg), % масс.",2.48,CCCCCCCCCCCC1=CC=C(S(=O)(=O)O[Ca])C=C1
Детергент_5,typical,"Содержание металла (Ca/Mg), % масс.",,2.48,No Method,"Содержание металла (Ca/Mg), % масс.",2.48,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_18,typical,"Содержание металла (Ca/Mg), % масс.",,5.5,No Method,"Содержание металла (Ca/Mg), % масс.",5.5,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_11,typical,"Содержание металла (Ca/Mg), % масс.",,15.5,No Method,"Содержание металла (Ca/Mg), % масс.",15.5,Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].[Ca+2]
Детергент_8,typical,"Содержание металла (Ca/Mg), % масс.",,"9,0 (Mg)",No Method,"Содержание металла (Ca/Mg), % масс.",9.0 (Mg),O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Mg]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_1,typical,"Содержание серы, % масс.",,1.6,No Method,"Содержание серы, % масс.",1.6,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_23,typical,"Содержание серы, % масс.",,2.65,No Method,"Содержание серы, % масс.",2.65,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_16,typical,"Содержание серы, % масс.",,2.44,No Method,"Содержание серы, % масс.",2.44,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_6,typical,"Содержание серы, % масс.",,3.3,No Method,"Содержание серы, % масс.",3.3,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_13,typical,"Содержание серы, % масс.",,1.6,No Method,"Содержание серы, % масс.",1.6,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_14,typical,"Содержание серы, % масс.",,3.1,No Method,"Содержание серы, % масс.",3.1,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_21,typical,"Содержание серы, % масс.",,2.1,No Method,"Содержание серы, % масс.",2.1,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_20,typical,"Содержание серы, % масс.",,3,No Method,"Содержание серы, % масс.",3.0,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_12,typical,"Содержание серы, % масс.",,1.73,No Method,"Содержание серы, % масс.",1.73,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1C)(O[Ca]OS(C2=C(C)C=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_3,typical,"Содержание серы, % масс.",,2.6,No Method,"Содержание серы, % масс.",2.6,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_15,typical,"Содержание серы, % масс.",,3.3,No Method,"Содержание серы, % масс.",3.3,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_10,typical,"Содержание серы, % масс.",,0.5,No Method,"Содержание серы, % масс.",0.5,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_7,typical,"Содержание серы, % масс.",,2.4,No Method,"Содержание серы, % масс.",2.4,CCCCCCCCCCCC1=CC=C(S(=O)(=O)O[Ca])C=C1
Детергент_5,typical,"Содержание серы, % масс.",,2.4,No Method,"Содержание серы, % масс.",2.4,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_18,typical,"Содержание серы, % масс.",,2.6,No Method,"Содержание серы, % масс.",2.6,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_11,typical,"Содержание серы, % масс.",,1.5,No Method,"Содержание серы, % масс.",1.5,Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].[Ca+2]
Детергент_8,typical,"Содержание серы, % масс.",,1.9,No Method,"Содержание серы, % масс.",1.9,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Mg]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_16,typical,Степень полисульфидности,,1.01,No Method,Степень полисульфидности,1.01,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_6,typical,Степень полисульфидности,,1.62,No Method,Степень полисульфидности,1.62,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_14,typical,Степень полисульфидности,,1.15,No Method,Степень полисульфидности,1.15,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
